block,label,selection,crossover,mutation,run,best_fitness,time_s,n_iters
selection,tournament,tournament,pmx,exchange,0,9515,4.842310500000167,1
selection,tournament,tournament,pmx,exchange,1,9544,8.129366699999991,1
selection,tournament,tournament,pmx,exchange,2,9678,9.041455000000042,1
selection,tournament,tournament,pmx,exchange,3,11168,6.822276500000044,1
selection,tournament,tournament,pmx,exchange,4,10207,7.627946000000065,1
selection,tournament,tournament,pmx,exchange,5,10463,15.76571550000017,1
selection,tournament,tournament,pmx,exchange,6,10898,9.150076099999751,1
selection,tournament,tournament,pmx,exchange,7,8966,8.777239199999713,1
selection,tournament,tournament,pmx,exchange,8,9039,7.587142300000323,1
selection,tournament,tournament,pmx,exchange,9,11774,4.585700799999813,1
selection,linear_rank,linear_rank,pmx,exchange,0,8025,1.1952605999999832,1
selection,linear_rank,linear_rank,pmx,exchange,1,8025,0.8108462000000145,1
selection,linear_rank,linear_rank,pmx,exchange,2,7836,1.3257025999996586,1
selection,linear_rank,linear_rank,pmx,exchange,3,8169,1.6121209000002636,1
selection,linear_rank,linear_rank,pmx,exchange,4,8420,0.8866535000001932,1
selection,linear_rank,linear_rank,pmx,exchange,5,8660,1.6744054000000688,1
selection,linear_rank,linear_rank,pmx,exchange,6,8853,0.8255738999996538,1
selection,linear_rank,linear_rank,pmx,exchange,7,8362,0.8707479999998213,1
selection,linear_rank,linear_rank,pmx,exchange,8,8512,0.7510474999999133,1
selection,linear_rank,linear_rank,pmx,exchange,9,8759,0.8711572000001979,1
crossover,ox,tournament,ox,exchange,0,28291,6.868588300000283,1
crossover,ox,tournament,ox,exchange,1,16876,6.734780899999805,1
crossover,ox,tournament,ox,exchange,2,17467,5.382190400000127,1
crossover,ox,tournament,ox,exchange,3,14730,6.5248545000004015,1
crossover,ox,tournament,ox,exchange,4,20075,6.8910986999999295,1
crossover,ox,tournament,ox,exchange,5,22043,7.487125299999661,1
crossover,ox,tournament,ox,exchange,6,24848,4.9142470000001595,1
crossover,ox,tournament,ox,exchange,7,16108,13.685143999999582,1
crossover,ox,tournament,ox,exchange,8,16182,6.4482740000003105,1
crossover,ox,tournament,ox,exchange,9,10701,7.01084260000016,1
crossover,pmx,tournament,pmx,exchange,0,12140,12.90039730000035,1
crossover,pmx,tournament,pmx,exchange,1,9089,18.2062176000004,1
crossover,pmx,tournament,pmx,exchange,2,12624,7.8256264999999985,1
crossover,pmx,tournament,pmx,exchange,3,12467,10.120158000000174,1
crossover,pmx,tournament,pmx,exchange,4,9527,12.110188599999674,1
crossover,pmx,tournament,pmx,exchange,5,9722,5.257716999999957,1
crossover,pmx,tournament,pmx,exchange,6,9846,5.030989699999736,1
crossover,pmx,tournament,pmx,exchange,7,10375,12.01371139999992,1
crossover,pmx,tournament,pmx,exchange,8,9518,4.5898833000001105,1
crossover,pmx,tournament,pmx,exchange,9,9110,11.866916899999978,1
crossover,ap,tournament,ap,exchange,0,15522,8.283954300000005,1
crossover,ap,tournament,ap,exchange,1,20088,7.160105699999804,1
crossover,ap,tournament,ap,exchange,2,15232,11.606744100000014,1
crossover,ap,tournament,ap,exchange,3,14116,10.31256970000004,1
crossover,ap,tournament,ap,exchange,4,16188,10.606278799999927,1
crossover,ap,tournament,ap,exchange,5,21121,6.101028999999926,1
crossover,ap,tournament,ap,exchange,6,29813,5.062644000000091,1
crossover,ap,tournament,ap,exchange,7,19837,9.705968199999916,1
crossover,ap,tournament,ap,exchange,8,18955,8.951386400000047,1
crossover,ap,tournament,ap,exchange,9,20192,10.007176999999956,1
mutation,displacement,tournament,pmx,displacement,0,7483,11.578611200000068,1
mutation,displacement,tournament,pmx,displacement,1,9001,6.102614200000062,1
mutation,displacement,tournament,pmx,displacement,2,8055,10.151643100000001,1
mutation,displacement,tournament,pmx,displacement,3,7917,6.864135199999964,1
mutation,displacement,tournament,pmx,displacement,4,8681,12.354918699999871,1
mutation,displacement,tournament,pmx,displacement,5,8145,16.639833400000043,1
mutation,displacement,tournament,pmx,displacement,6,8088,9.880616299999929,1
mutation,displacement,tournament,pmx,displacement,7,7248,17.771263400000407,1
mutation,displacement,tournament,pmx,displacement,8,8503,11.946491300000162,1
mutation,displacement,tournament,pmx,displacement,9,7344,15.674158199999965,1
mutation,exchange,tournament,pmx,exchange,0,11686,4.307422100000167,1
mutation,exchange,tournament,pmx,exchange,1,13642,7.997990500000014,1
mutation,exchange,tournament,pmx,exchange,2,10024,10.847112899999956,1
mutation,exchange,tournament,pmx,exchange,3,9522,14.506305599999905,1
mutation,exchange,tournament,pmx,exchange,4,10710,5.727582200000143,1
mutation,exchange,tournament,pmx,exchange,5,11900,8.65307780000012,1
mutation,exchange,tournament,pmx,exchange,6,9585,10.00764369999979,1
mutation,exchange,tournament,pmx,exchange,7,8386,8.437238500000149,1
mutation,exchange,tournament,pmx,exchange,8,10345,4.472947100000056,1
mutation,exchange,tournament,pmx,exchange,9,12394,8.586004100000082,1
mutation,scramble,tournament,pmx,scramble,0,9114,12.07453200000009,1
mutation,scramble,tournament,pmx,scramble,1,7894,12.736497699999745,1
mutation,scramble,tournament,pmx,scramble,2,8258,6.023318499999732,1
mutation,scramble,tournament,pmx,scramble,3,8123,10.378137300000162,1
mutation,scramble,tournament,pmx,scramble,4,8118,8.025913099999798,1
mutation,scramble,tournament,pmx,scramble,5,8745,9.710347799999909,1
mutation,scramble,tournament,pmx,scramble,6,10479,10.177373999999872,1
mutation,scramble,tournament,pmx,scramble,7,8654,9.708559400000013,1
mutation,scramble,tournament,pmx,scramble,8,10650,6.057438600000296,1
mutation,scramble,tournament,pmx,scramble,9,7881,9.767508500000076,1
mutation,sim,tournament,pmx,sim,0,8733,10.617702199999712,1
mutation,sim,tournament,pmx,sim,1,8675,7.657435499999792,1
mutation,sim,tournament,pmx,sim,2,8025,8.23195110000006,1
mutation,sim,tournament,pmx,sim,3,7935,11.949724200000219,1
mutation,sim,tournament,pmx,sim,4,8932,12.59744069999988,1
mutation,sim,tournament,pmx,sim,5,7611,13.881544900000335,1
mutation,sim,tournament,pmx,sim,6,8035,11.105314000000362,1
mutation,sim,tournament,pmx,sim,7,8025,9.94433909999998,1
mutation,sim,tournament,pmx,sim,8,9995,9.430551599999944,1
