block,label,selection,crossover,mutation,run,best_fitness,time_s,n_iters
selection,tournament,tournament,pmx,displacement,0,32310,27.32116659999997,1658
selection,tournament,tournament,pmx,displacement,1,31603,52.16078829999992,3201
selection,tournament,tournament,pmx,displacement,2,32632,28.02995379999993,1717
selection,tournament,tournament,pmx,displacement,3,32162,30.407772500000192,1856
selection,tournament,tournament,pmx,displacement,4,31448,36.25989019999997,2197
selection,tournament,tournament,pmx,displacement,5,32380,27.38784749999968,1679
selection,tournament,tournament,pmx,displacement,6,35370,14.34828779999998,868
selection,tournament,tournament,pmx,displacement,7,36186,16.001641100000143,972
selection,tournament,tournament,pmx,displacement,8,32165,36.76714969999966,2245
selection,tournament,tournament,pmx,displacement,9,36951,13.623116400000072,843
selection,linear_rank,linear_rank,pmx,displacement,0,33366,4.718148500000098,1496
selection,linear_rank,linear_rank,pmx,displacement,1,34864,6.190911500000311,1933
selection,linear_rank,linear_rank,pmx,displacement,2,30069,7.000057299999753,2235
selection,linear_rank,linear_rank,pmx,displacement,3,31847,6.931750400000055,2250
selection,linear_rank,linear_rank,pmx,displacement,4,32256,4.936944699999913,1564
selection,linear_rank,linear_rank,pmx,displacement,5,32967,5.126287999999931,1605
selection,linear_rank,linear_rank,pmx,displacement,6,29608,9.255108599999858,2979
selection,linear_rank,linear_rank,pmx,displacement,7,33434,5.066120899999987,1598
selection,linear_rank,linear_rank,pmx,displacement,8,33629,4.731040799999846,1496
selection,linear_rank,linear_rank,pmx,displacement,9,33113,4.4530054000001655,1403
crossover,ox,linear_rank,ox,displacement,0,34517,8.712230399999953,2234
crossover,ox,linear_rank,ox,displacement,1,31877,17.964585700000043,4539
crossover,ox,linear_rank,ox,displacement,2,33552,13.473538199999894,3493
crossover,ox,linear_rank,ox,displacement,3,31249,11.66251020000027,3016
crossover,ox,linear_rank,ox,displacement,4,37743,7.046520600000349,1791
crossover,ox,linear_rank,ox,displacement,5,31448,14.061451999999917,3655
crossover,ox,linear_rank,ox,displacement,6,36727,10.067070299999614,2617
crossover,ox,linear_rank,ox,displacement,7,31832,17.00261679999994,4304
crossover,ox,linear_rank,ox,displacement,8,33139,13.895037700000103,3611
crossover,ox,linear_rank,ox,displacement,9,32053,12.761017299999821,3307
crossover,pmx,linear_rank,pmx,displacement,0,31082,11.705850800000007,3679
crossover,pmx,linear_rank,pmx,displacement,1,33291,9.42017900000019,2934
crossover,pmx,linear_rank,pmx,displacement,2,32949,4.621357900000021,1471
crossover,pmx,linear_rank,pmx,displacement,3,36535,6.624756799999886,2104
crossover,pmx,linear_rank,pmx,displacement,4,32651,5.546345700000074,1762
crossover,pmx,linear_rank,pmx,displacement,5,34185,6.072366100000181,1917
crossover,pmx,linear_rank,pmx,displacement,6,32640,7.1850695000002816,2282
crossover,pmx,linear_rank,pmx,displacement,7,33718,3.922343400000045,1239
crossover,pmx,linear_rank,pmx,displacement,8,32239,4.091551299999992,1290
crossover,pmx,linear_rank,pmx,displacement,9,31660,3.7392307000000073,1178
crossover,ap,linear_rank,ap,displacement,0,32405,10.859731300000021,2777
crossover,ap,linear_rank,ap,displacement,1,35704,7.497219400000176,1912
crossover,ap,linear_rank,ap,displacement,2,36044,11.484012699999766,2932
crossover,ap,linear_rank,ap,displacement,3,34968,6.539737200000218,1679
crossover,ap,linear_rank,ap,displacement,4,35269,8.83978210000032,2238
crossover,ap,linear_rank,ap,displacement,5,31571,18.438402500000393,4653
crossover,ap,linear_rank,ap,displacement,6,33245,15.48984930000006,3906
crossover,ap,linear_rank,ap,displacement,7,30821,10.740362099999857,2712
crossover,ap,linear_rank,ap,displacement,8,33057,16.76384700000017,4289
crossover,ap,linear_rank,ap,displacement,9,33938,8.923999200000253,2307
mutation,displacement,linear_rank,pmx,displacement,0,32060,8.233106300000145,2618
mutation,displacement,linear_rank,pmx,displacement,1,31741,6.223281099999895,1979
mutation,displacement,linear_rank,pmx,displacement,2,29888,8.145237799999904,2581
mutation,displacement,linear_rank,pmx,displacement,3,33733,6.048565999999937,1908
mutation,displacement,linear_rank,pmx,displacement,4,33675,5.360152400000061,1715
mutation,displacement,linear_rank,pmx,displacement,5,30214,4.924756600000364,1562
mutation,displacement,linear_rank,pmx,displacement,6,32819,5.360903699999653,1677
mutation,displacement,linear_rank,pmx,displacement,7,30943,9.395437199999833,2960
mutation,displacement,linear_rank,pmx,displacement,8,33094,9.840544899999713,3066
mutation,displacement,linear_rank,pmx,displacement,9,32427,4.523289400000067,1445
